FaceTalk.ordinal,FaceTalk.onset,FaceTalk.offset,FaceTalk.code01,
0,242114,0,"B",
1,242386,242760,"R",
2,242828,243882,"L",
3,243950,244630,"R",
4,244698,245820,"L",
5,245888,247962,"R",
6,247962,0,"S",
7,255952,0,"B",
8,256224,256666,"R",
9,256700,258366,"L",
10,258434,259760,"R",
11,259896,260270,"L",
12,260338,261766,"R",
13,261766,0,"S",
14,269416,0,"B",
15,269756,270844,"R",
16,270912,272034,"L",
17,272068,274278,"R",
18,274312,274550,"L",
19,274584,275060,"R",
20,275060,0,"S",
21,283084,0,"B",
22,283356,283764,"R",
23,283832,284274,"L",
24,284342,285192,"R",
25,285260,286008,"L",
26,286042,0,"S",
27,287096,0,"B",
28,287368,292740,"C",
29,292740,0,"S",
30,293726,0,"B",
31,294236,294474,"R",
32,294576,297058,"L",
33,297194,297738,"R",
34,297738,0,"S",
35,305422,0,"B",
36,305694,306000,"R",
37,306068,306476,"L",
38,306544,308414,"R",
39,308414,0,"S",
40,309434,0,"B",
41,309536,315418,"C",
42,315418,0,"S",
43,316438,0,"B",
44,316778,317186,"R",
45,317254,320110,"L",
46,320484,0,"S",
47,328134,0,"B",
48,328644,329086,"R",
49,329188,331160,"L",
50,331160,0,"S",
51,332146,0,"B",
52,332384,338130,"C",
53,338130,0,"S",
54,339184,0,"B",
55,339456,340408,"L",
56,340476,341462,"R",
57,342176,343162,"R",
58,343162,0,"S",
59,350880,0,"B",
60,351424,352784,"R",
61,352852,353838,"L",
62,353906,0,"S",
63,354892,0,"B",
64,356218,360876,"C",
65,360876,0,"S",
66,362168,0,"B",
67,362678,364174,"L",
68,364242,365534,"R",
69,365602,366214,"L",
70,366214,0,"S",
71,373864,0,"B",
72,374170,375054,"L",
73,375156,375836,"R",
74,375870,376040,"L",
75,376108,376890,"R",
76,376890,0,"S",
77,377876,0,"B",
78,377876,384030,"C",
79,384030,0,"S",
80,385152,0,"B",
81,385424,385696,"L",
82,386002,386852,"R",
83,387260,387668,"R",
84,387736,388144,"L",
85,388178,389130,"R",
86,389130,0,"S",
87,397120,0,"B",
88,397528,398208,"L",
89,398276,399228,"R",
90,399296,400112,"L",
91,400112,0,"S",
92,401166,0,"B",
93,401948,407150,"C",
94,407150,0,"S",
95,408136,0,"B",
96,408510,408850,"L",
97,408884,410652,"R",
98,410720,410754,"L",
99,410788,412148,"R",
100,412148,0,"S",
101,419866,0,"B",
102,420240,420614,"R",
103,420682,421634,"L",
104,421702,422756,"R",
105,422824,422892,"L",
106,422892,0,"S",
107,423878,0,"B",
108,423878,424524,"C",
109,425408,428434,"C",
110,429862,0,"S",
111,430882,0,"B",
112,432106,432548,"R",
113,432616,434860,"L",
114,434894,0,"S",
115,442544,0,"B",
116,442544,442986,"R",
117,443836,445536,"R",
118,445570,0,"S",
119,446624,0,"B",
120,447032,452574,"C",
121,452574,0,"S",
122,453594,0,"B",
123,453934,454274,"L",
124,454308,456552,"R",
125,457606,0,"S",
126,476578,0,"B",
127,476850,477156,"R",
128,477224,478618,"L",
129,478788,479502,"R",
130,479570,0,"S",
131,480590,0,"B",
132,481032,481916,"C",
133,482460,486234,"C",
134,486234,0,"S",
135,487254,0,"B",
136,487254,487526,"R",
137,487560,488716,"L",
138,488818,491300,"R",
139,491300,0,"S",
140,498984,0,"B",
141,499358,500684,"R",
142,501126,501330,"L",
143,501806,501976,"L",
144,501976,0,"S",
145,502996,0,"B",
146,503234,508980,"C",
147,508980,0,"S",
148,510272,0,"B",
149,510612,511122,"L",
150,511292,514318,"R",
151,514318,0,"S",
152,522002,0,"B",
153,522682,523328,"R",
154,524994,0,"S",
155,526014,0,"B",
156,526014,531794,"C",
157,531794,0,"S",
158,532814,0,"B",
159,533120,533902,"L",
160,533970,536384,"R",
161,536452,536860,"L",
162,536860,0,"S",
163,544884,0,"B",
164,545258,545598,"R",
165,545734,546278,"L",
166,546346,547842,"R",
167,547842,0,"S",
168,548896,0,"B",
169,548896,550970,"C",
170,551650,554880,"C",
171,554880,0,"S",
172,555900,0,"B",
173,556206,556274,"L",
174,556308,556342,"R",
175,559878,559912,"R",
176,559912,0,"S",
177,567596,0,"B",
178,567596,567630,"R",
179,567732,567936,"L",
180,568208,568684,"R",
181,569534,570350,"R",
182,570588,0,"S",
183,571574,0,"B",
184,571574,572288,"C",
185,573376,576164,"C",
186,577558,0,"S",
187,578578,0,"B",
188,580652,581128,"L",
189,581196,582624,"R",
190,582624,0,"S",
191,590308,0,"B",
192,590308,591498,"R",
193,593300,0,"S",
194,594320,0,"B",
195,594320,594592,"C",
196,600066,0,"S",
197,601154,0,"B",
198,601494,602786,"L",
199,605200,0,"S",
200,613190,0,"B",
201,613190,613190,"R",
202,615026,615366,"R",
203,616182,0,"S",
204,617202,0,"B",
205,617202,618120,"C",
206,622846,0,"S",
207,624104,0,"B",
208,625192,626144,"R",
209,626960,627436,"R",
210,627980,0,"S",
211,635664,0,"B",
212,635902,636548,"R",
213,637704,638622,"R",
214,638622,0,"S",
215,639676,0,"B",
216,639676,645626,"C",
217,645626,0,"S",
218,646918,0,"B",
219,647156,647360,"L",
220,647394,648686,"R",
221,648720,649332,"L",
222,649400,650896,"R",
223,650896,0,"S",
224,658580,0,"B",
225,658784,659090,"L",
226,659124,660858,"R",
227,661572,0,"S",
228,662626,0,"B",
229,663238,663476,"C",
230,664190,668576,"C",
231,668576,0,"S",
232,669596,0,"B",
233,673608,0,"S",
234,681326,0,"B",
235,684318,0,"S",
236,685338,0,"B",
237,685338,691322,"C",
238,691322,0,"S",
239,692308,0,"B",
240,692580,692988,"R",
241,693056,693872,"L",
242,694042,696354,"R",
243,696354,0,"S",
244,704378,0,"B",
245,704650,704888,"R",
246,707336,0,"S",
247,708356,0,"B",
248,709648,710430,"C",
249,711756,714340,"C",
250,714340,0,"S",
251,715598,0,"B",
252,716380,717434,"R",
253,717468,717706,"L",
254,717876,719610,"R",
255,719610,0,"S",
256,727294,0,"B",
257,727566,728042,"R",
258,728178,729334,"L",
259,729538,730150,"R",
260,730252,0,"S",
261,731306,0,"B",
262,731306,736984,"C",
263,736984,0,"S",
264,738038,0,"B",
265,738310,739432,"R",
266,741200,741744,"R",
267,741846,742050,"L",
268,742050,0,"S",
269,749768,0,"B",
270,750380,751162,"R",
271,751196,751536,"L",
272,752726,0,"S",
273,753746,0,"B",
274,753746,755786,"C",
275,758370,759764,"C",
276,759764,0,"S",
277,760750,0,"B",
278,761396,764762,"R",
279,764762,0,"S",
280,772786,0,"B",
281,773126,774010,"L",
282,774894,775778,"L",
283,775778,0,"S",
284,776798,0,"B",
285,777172,779518,"C",
286,781898,782952,"C",
287,782952,0,"S",
288,784006,0,"B",
289,784278,784516,"L",
290,784584,785842,"R",
291,785910,786012,"L",
292,786080,788052,"R",
293,788052,0,"S",
294,795736,0,"B",
295,796314,796518,"L",
296,796620,797334,"R",
297,797742,798218,"R",
298,798728,0,"S",
299,799782,0,"B",
300,803114,805766,"C",
301,805766,0,"S",
302,806752,0,"B",
303,807126,807398,"L",
304,807466,808520,"R",
305,808554,809608,"L",
306,809710,810254,"R",
307,810764,0,"S",
308,818448,0,"B",
309,818686,821100,"R",
310,821338,821440,"L",
311,821440,0,"S",
312,822460,0,"B",
313,822766,828444,"C",
314,828444,0,"S",
315,829872,0,"B",
316,830212,830960,"R",
317,831028,831334,"L",
318,831504,832626,"R",
319,832660,833884,"L",
320,833918,0,"S",
